loc_i,loc_j,coupling force
7320203,7120302,9.081e-05
3120301,7120302,0.0004541969
9320102,7120302,1.18191e-05
7320404,7120302,0.0003887668
2120204,7120302,2.95066e-05
1230114,7120302,0.00083334
14320103,7120302,0.0002287632
14320104,7120302,0.0001055462
8120204,7120302,0.0003608604
2120102,7120302,0.0002016637
5220303,7120302,2.22836e-05
6220103,7120302,0.0002489121
6120201,7120302,0.0002955201
12120202,7120302,4.05233e-05
1130141,7120302,0.0009173357
12220203,7120302,2.65463e-05
1130144,7120302,0.0006135354
6220302,7120302,5.02176e-05
12220204,7120302,0.000224853
5220102,7120302,0.0002657966
7230111,7120302,0.0018180347
12220201,7120302,6.62266e-05
3120303,7120302,0.0002862942
12120103,7120302,0.0002936728
10220302,7120302,0.0002693191
2320102,7120302,4.78454e-05
6220101,7120302,0.0003654271
3320205,7120302,0.0002615836
8120205,7120302,0.0020050795
8120104,7120302,3.42548e-05
1130123,7120302,0.0010243801
6120102,7120302,0.0002332215
7320405,7120302,0.0006046706
8220404,7120302,6.74825e-05
1430115,7120302,0.0006836577
1230125,7120302,0.0006016789
1130142,7120302,0.0009387298
2120402,7120302,0.0010080692
12420202,7120302,0.0001669321
7120301,7120302,0.0031451856
8320204,7120302,1.7984e-05
11320103,7120302,0.0002228866
1230133,7120302,0.001049315
12420101,7120302,9.38377e-05
1320102,7120302,0.0011509126
8320304,7120302,3.98641e-05
6120203,7120302,0.0005204835
3120304,7120302,0.0002510907
1230124,7120302,0.0012725848
13320203,7120302,0.000635116
1130122,7120302,0.0010226467
9220301,7120302,0.0001195767
9220104,7120302,0.000463503
4120203,7120302,0.0002009346
8220301,7120302,6.07361e-05
9120303,7120302,0.0003828191
10220303,7120302,0.0001935841
2220202,7120302,0.0004960397
3220102,7120302,3.38513e-05
1230111,7120302,0.0007385091
12420201,7120302,0.0002162747
7320401,7120302,0.0008118905
4220202,7120302,0.0001306897
3320101,7120302,0.0001054185
5220203,7120302,0.0004109796
11120201,7120302,0.0001840357
8320101,7120302,0.0001731807
8120101,7120302,4.07e-05
14320302,7120302,0.0008008863
